,date,time,tempC,weatherDesc,precipMM,humidity,pressure,cloudcover,windspeedKmph,visibility,uvIndex,moon_illumination,city
0,2018-01-01,12,11,Rain,2.7,84,1008,63,10,8,2,97,florence
1,2018-01-01,18,5,Clear,0.4,92,1010,11,7,10,2,97,florence
2,2018-01-02,0,4,Rain,0.4,90,1007,51,13,10,2,100,florence
3,2018-01-02,6,5,Rain,1.2,91,1009,49,7,9,2,100,florence
4,2018-01-02,12,13,Sunny,0.0,47,1014,1,9,10,2,100,florence
5,2018-01-02,18,4,Clear,0.0,64,1016,11,2,10,2,100,florence
6,2018-01-03,0,3,Clear,0.0,63,1017,22,2,10,3,89,florence
7,2018-01-03,6,2,Cloudy,0.0,91,1016,55,3,10,3,89,florence
8,2018-01-03,12,9,Cloudy,0.0,78,1009,54,15,10,3,89,florence
9,2018-01-03,18,7,Clear,0.6,90,1006,10,10,10,3,89,florence
10,2018-01-04,0,7,Clear,0.0,86,1009,13,4,10,3,81,florence
11,2018-01-05,0,6,Cloudy,0.1,92,1007,77,4,10,2,74,florence
12,2018-01-06,18,7,Cloudy,0.1,93,1013,52,4,10,2,67,florence
13,2018-01-07,0,6,Clear,0.0,92,1015,12,6,10,4,59,florence
14,2018-01-07,6,4,Sunny,0.0,88,1016,6,8,10,4,59,florence
15,2018-01-07,12,15,Sunny,0.0,65,1018,7,7,10,4,59,florence
16,2018-01-07,18,8,Cloudy,0.0,85,1020,61,6,10,4,59,florence
17,2018-01-08,0,9,Cloudy,0.0,86,1020,86,6,10,3,52,florence
18,2018-01-08,6,8,Cloudy,0.0,85,1021,52,9,10,3,52,florence
19,2018-01-08,12,16,Cloudy,0.0,65,1021,76,7,10,3,52,florence
20,2018-01-08,18,11,Cloudy,0.0,89,1020,46,11,10,3,52,florence
21,2018-01-09,0,11,Rain,0.3,84,1019,40,7,9,3,45,florence
22,2018-01-09,12,14,Rain,1.3,69,1019,5,12,9,3,45,florence
23,2018-01-09,18,8,Rain,0.3,90,1020,33,6,9,3,45,florence
24,2018-01-10,0,6,Clear,0.0,90,1019,6,3,10,3,38,florence
25,2018-01-10,6,2,Cloudy,0.0,93,1017,34,5,10,3,38,florence
