,date,time,tempC,weatherDesc,precipMM,humidity,pressure,cloudcover,windspeedKmph,visibility,uvIndex,moon_illumination,city
0,2018-01-01,0,11,Clear,0.0,73,1021,7,14,10,4,97,lecce
1,2018-01-01,6,14,Cloudy,0.0,87,1019,39,18,10,4,97,lecce
2,2018-01-01,12,16,Cloudy,0.0,75,1017,83,15,10,4,97,lecce
3,2018-01-01,18,13,Cloudy,0.0,79,1014,55,14,10,4,97,lecce
4,2018-01-02,0,13,Clear,0.2,68,1013,0,33,10,4,100,lecce
5,2018-01-02,6,13,Cloudy,0.0,69,1012,35,21,10,4,100,lecce
6,2018-01-02,12,13,Rain,1.0,79,1009,100,21,9,4,100,lecce
7,2018-01-02,18,10,Rain,1.9,83,1009,80,22,10,4,100,lecce
8,2018-01-03,6,12,Sunny,0.1,64,1014,3,35,10,3,89,lecce
9,2018-01-03,12,14,Sunny,0.0,52,1015,5,23,10,3,89,lecce
10,2018-01-03,18,12,Clear,0.0,56,1012,14,19,10,3,89,lecce
11,2018-01-04,0,13,Rain,2.0,83,1004,60,26,10,3,81,lecce
12,2018-01-04,6,12,Rain,1.2,75,1007,28,46,9,3,81,lecce
13,2018-01-04,12,14,Sunny,0.0,60,1011,16,23,10,3,81,lecce
14,2018-01-04,18,11,Clear,0.0,72,1012,17,9,10,3,81,lecce
15,2018-01-05,0,11,Cloudy,0.0,73,1011,33,18,10,4,74,lecce
16,2018-01-05,6,14,Sunny,0.0,87,1011,10,16,10,4,74,lecce
17,2018-01-05,12,17,Sunny,0.0,79,1012,22,9,10,4,74,lecce
18,2018-01-05,18,13,Clear,0.0,93,1014,25,19,10,4,74,lecce
19,2018-01-06,0,13,Clear,0.0,90,1015,5,15,10,5,67,lecce
20,2018-01-06,6,15,Sunny,0.0,91,1016,17,24,10,5,67,lecce
21,2018-01-06,12,17,Sunny,0.0,79,1016,0,30,10,5,67,lecce
22,2018-01-06,18,14,Clear,0.0,90,1017,21,27,10,5,67,lecce
