,date,time,tempC,weatherDesc,precipMM,humidity,pressure,cloudcover,windspeedKmph,visibility,uvIndex,moon_illumination,city
0,2018-01-01,0,5,Rain,0.8,86,1017,100,1,9,1,97,milan
1,2018-01-01,6,4,Rain,3.8,94,1013,100,3,7,1,97,milan
2,2018-01-01,12,5,Rain,2.5,90,1012,58,11,8,1,97,milan
3,2018-01-02,0,4,Cloudy,0.0,81,1010,50,5,10,3,100,milan
4,2018-01-02,6,4,Sunny,0.0,79,1015,0,8,10,3,100,milan
5,2018-01-02,12,11,Sunny,0.0,46,1017,2,10,10,3,100,milan
6,2018-01-02,18,7,Clear,0.0,59,1019,11,8,10,3,100,milan
7,2018-01-03,0,5,Cloudy,0.0,52,1018,40,4,10,3,89,milan
8,2018-01-03,6,5,Sunny,0.0,59,1015,7,2,10,3,89,milan
9,2018-01-03,12,8,Cloudy,0.1,50,1005,30,1,10,3,89,milan
10,2018-01-03,18,7,Rain,2.4,84,1009,10,12,9,3,89,milan
11,2018-01-04,0,5,Cloudy,0.0,73,1011,47,6,10,3,81,milan
12,2018-01-04,6,5,Cloudy,0.0,76,1009,55,7,10,3,81,milan
13,2018-01-04,12,11,Sunny,0.0,59,1008,10,4,10,3,81,milan
14,2018-01-04,18,8,Clear,0.0,75,1007,8,5,10,3,81,milan
15,2018-01-05,0,7,Clear,0.0,82,1008,4,2,10,3,74,milan
16,2018-01-05,6,4,Sunny,0.0,87,1008,7,3,10,3,74,milan
17,2018-01-05,12,7,Cloudy,0.0,68,1008,41,4,10,3,74,milan
18,2018-01-06,12,8,Rain,1.1,88,1012,72,1,9,2,67,milan
19,2018-01-07,6,7,Cloudy,0.1,90,1018,82,7,10,2,59,milan
20,2018-01-07,18,9,Cloudy,0.0,91,1022,87,7,10,2,59,milan
21,2018-01-09,0,12,Rain,3.2,87,1019,100,30,6,3,45,milan
22,2018-01-09,6,11,Rain,4.1,92,1018,91,18,7,3,45,milan
23,2018-01-09,12,13,Rain,11.3,70,1017,85,7,3,3,45,milan
24,2018-01-09,18,10,Rain,2.3,74,1019,100,9,10,3,45,milan
25,2018-01-10,0,9,Cloudy,0.0,80,1019,25,5,10,3,38,milan
26,2018-01-10,6,7,Cloudy,0.0,86,1017,27,5,10,3,38,milan
27,2018-01-10,12,11,Cloudy,0.0,70,1016,33,3,10,3,38,milan
28,2018-01-10,18,9,Cloudy,0.0,85,1015,37,3,10,3,38,milan
29,2018-01-11,0,7,Cloudy,0.0,86,1015,43,1,10,3,30,milan
30,2018-01-11,6,6,Cloudy,0.0,82,1014,34,3,10,3,30,milan
31,2018-01-11,12,10,Cloudy,0.1,64,1013,43,1,10,3,30,milan
32,2018-01-11,18,8,Clear,0.0,79,1016,22,0,10,3,30,milan
33,2018-01-12,0,6,Cloudy,0.0,78,1019,45,4,10,3,23,milan
34,2018-01-12,6,5,Cloudy,0.0,74,1021,51,5,10,3,23,milan
35,2018-01-12,12,10,Sunny,0.0,58,1021,13,5,10,3,23,milan
36,2018-01-12,18,8,Clear,0.0,76,1023,14,3,10,3,23,milan
37,2018-01-13,0,6,Clear,0.0,77,1025,15,4,10,3,16,milan
38,2018-01-13,6,5,Sunny,0.0,76,1025,17,3,10,3,16,milan
39,2018-01-13,12,9,Sunny,0.0,59,1023,23,4,10,3,16,milan
40,2018-01-13,18,8,Clear,0.0,76,1023,12,3,10,3,16,milan
41,2018-01-14,0,5,Cloudy,0.0,83,1023,41,3,10,3,9,milan
42,2018-01-14,6,4,Cloudy,0.0,82,1023,81,4,10,3,9,milan
43,2018-01-14,12,7,Cloudy,0.0,68,1022,73,6,10,3,9,milan
44,2018-01-14,18,5,Cloudy,0.0,79,1023,55,5,10,3,9,milan
45,2018-01-15,0,4,Cloudy,0.0,86,1025,62,2,10,3,1,milan
46,2018-01-15,6,3,Cloudy,0.0,89,1025,52,2,10,3,1,milan
47,2018-01-15,12,7,Cloudy,0.0,71,1022,42,2,10,3,1,milan
48,2018-01-16,0,5,Rain,1.1,85,1016,94,2,9,2,0,milan
49,2018-01-16,6,4,Cloudy,0.0,83,1012,69,5,10,2,0,milan
50,2018-01-16,12,8,Sunny,0.0,62,1008,7,9,10,2,0,milan
51,2018-01-16,18,6,Clear,0.0,76,1005,5,10,10,2,0,milan
52,2018-01-17,0,5,Clear,0.0,85,1001,7,6,10,3,0,milan
53,2018-01-17,6,3,Sunny,0.0,88,1002,8,13,10,3,0,milan
54,2018-01-17,12,9,Sunny,0.2,41,1007,12,15,10,3,0,milan
55,2018-01-17,18,6,Clear,0.0,42,1015,8,8,10,3,0,milan
56,2018-01-18,0,6,Clear,0.0,47,1019,2,9,10,3,6,milan
57,2018-01-18,6,3,Sunny,0.0,51,1018,5,6,10,3,6,milan
58,2018-01-18,12,10,Sunny,0.0,36,1014,6,7,10,3,6,milan
59,2018-01-18,18,7,Clear,0.0,53,1013,5,6,10,3,6,milan
60,2018-01-19,0,6,Clear,0.0,66,1011,5,6,10,3,13,milan
61,2018-01-19,6,5,Sunny,0.0,76,1009,5,4,10,3,13,milan
62,2018-01-19,12,9,Sunny,0.0,70,1009,12,11,10,3,13,milan
63,2018-01-19,18,8,Clear,0.0,73,1013,5,6,10,3,13,milan
64,2018-01-20,0,6,Clear,0.0,63,1015,6,3,10,3,20,milan
65,2018-01-20,6,3,Sunny,0.0,61,1017,19,2,10,3,20,milan
66,2018-01-20,12,8,Cloudy,0.0,50,1012,48,4,10,3,20,milan
67,2018-01-20,18,6,Cloudy,0.0,70,1009,49,4,10,3,20,milan
68,2018-01-21,6,4,Sunny,0.0,79,1005,7,8,10,2,28,milan
69,2018-01-21,12,10,Sunny,0.0,57,1009,2,13,10,2,28,milan
70,2018-01-21,18,8,Clear,0.0,57,1015,7,8,10,2,28,milan
71,2018-01-22,0,6,Clear,0.0,57,1016,10,10,10,3,35,milan
72,2018-01-22,6,4,Sunny,0.0,60,1016,21,4,10,3,35,milan
73,2018-01-22,12,9,Sunny,0.0,45,1015,13,6,10,3,35,milan
74,2018-01-22,18,7,Clear,0.0,54,1013,11,1,10,3,35,milan
75,2018-01-23,0,6,Clear,0.0,61,1017,4,4,10,3,42,milan
76,2018-01-23,6,6,Sunny,0.0,75,1021,0,5,10,3,42,milan
77,2018-01-23,12,11,Sunny,0.0,57,1023,3,7,10,3,42,milan
78,2018-01-23,18,7,Clear,0.0,73,1028,3,10,10,3,42,milan
79,2018-01-24,0,6,Clear,0.0,75,1031,7,4,10,3,49,milan
80,2018-01-24,6,7,Sunny,0.0,80,1031,2,3,10,3,49,milan
81,2018-01-24,12,12,Sunny,0.0,62,1030,0,4,10,3,49,milan
82,2018-01-24,18,9,Clear,0.0,75,1031,4,5,10,3,49,milan
83,2018-01-25,0,6,Clear,0.0,77,1029,11,5,10,3,57,milan
84,2018-01-26,0,6,Rain,1.8,91,1023,100,5,9,2,64,milan
85,2018-01-26,12,9,Cloudy,0.1,74,1021,41,6,10,2,64,milan
86,2018-01-26,18,8,Cloudy,0.1,84,1023,41,5,10,2,64,milan
87,2018-01-27,0,7,Rain,2.6,88,1026,100,5,7,2,71,milan
88,2018-01-27,6,7,Rain,2.0,84,1028,100,3,9,2,71,milan
89,2018-01-27,12,11,Cloudy,0.0,68,1030,28,10,10,2,71,milan
