,date,time,tempC,weatherDesc,precipMM,humidity,pressure,cloudcover,windspeedKmph,visibility,uvIndex,moon_illumination,city
0,2018-01-01,0,13,Cloudy,0.0,85,1021,79,4,10,3,97,naples
1,2018-01-01,6,13,Cloudy,0.0,85,1018,44,15,10,3,97,naples
2,2018-01-01,12,14,Cloudy,0.0,82,1014,54,25,10,3,97,naples
3,2018-01-01,18,12,Rain,0.7,63,1014,35,27,9,3,97,naples
4,2018-01-02,0,11,Rain,0.4,72,1014,35,26,9,3,100,naples
5,2018-01-02,6,11,Rain,5.7,75,1009,83,26,7,3,100,naples
6,2018-01-02,12,14,Rain,1.6,62,1010,20,15,9,3,100,naples
7,2018-01-02,18,11,Rain,2.0,66,1014,26,13,9,3,100,naples
8,2018-01-03,0,9,Clear,0.0,63,1018,15,10,10,4,89,naples
9,2018-01-03,6,9,Sunny,0.0,56,1019,5,3,10,4,89,naples
10,2018-01-03,12,14,Sunny,0.0,52,1016,5,12,10,4,89,naples
11,2018-01-03,18,13,Cloudy,0.0,90,1009,87,21,10,4,89,naples
12,2018-01-04,0,12,Clear,0.2,83,1009,7,18,10,4,81,naples
13,2018-01-04,6,11,Sunny,0.0,82,1012,16,4,10,4,81,naples
14,2018-01-04,12,16,Sunny,0.0,60,1011,6,5,10,4,81,naples
15,2018-01-04,18,13,Cloudy,0.0,74,1011,29,8,10,4,81,naples
16,2018-01-05,0,12,Cloudy,0.1,88,1010,87,3,10,3,74,naples
17,2018-01-05,6,13,Rain,0.2,91,1010,61,5,10,3,74,naples
18,2018-01-05,12,15,Rain,0.2,80,1012,72,11,10,3,74,naples
19,2018-01-05,18,15,Rain,0.3,89,1014,61,9,10,3,74,naples
20,2018-01-06,0,14,Clear,0.0,90,1014,12,9,10,4,67,naples
21,2018-01-06,6,12,Cloudy,0.0,93,1014,60,9,10,4,67,naples
22,2018-01-06,12,15,Cloudy,0.0,78,1013,53,8,10,4,67,naples
23,2018-01-06,18,14,Clear,0.0,79,1014,5,9,10,4,67,naples
24,2018-01-07,0,13,Clear,0.0,65,1016,5,14,10,5,59,naples
25,2018-01-07,6,12,Cloudy,0.0,62,1017,38,14,10,5,59,naples
26,2018-01-07,18,15,Clear,0.0,51,1019,6,11,10,5,59,naples
27,2018-01-08,0,13,Clear,0.0,50,1020,8,12,10,5,52,naples
28,2018-01-08,6,13,Sunny,0.0,48,1021,5,10,10,5,52,naples
29,2018-01-08,12,18,Sunny,0.0,45,1020,9,15,10,5,52,naples
30,2018-01-09,0,14,Cloudy,0.0,63,1021,56,12,10,5,45,naples
31,2018-01-09,6,14,Cloudy,0.0,72,1021,85,12,10,5,45,naples
32,2018-01-10,0,13,Rain,3.1,84,1018,100,9,7,3,38,naples
33,2018-01-10,6,11,Rain,4.7,79,1016,100,11,7,3,38,naples
34,2018-01-10,12,14,Cloudy,0.0,64,1015,32,8,10,3,38,naples
35,2018-01-10,18,12,Cloudy,0.0,69,1015,33,11,10,3,38,naples
