,date,time,tempC,weatherDesc,precipMM,humidity,pressure,cloudcover,windspeedKmph,visibility,uvIndex,moon_illumination,city
0,2018-01-01,0,11,Cloudy,0.0,83,1023,25,9,10,4,97,palermo
1,2018-01-01,6,12,Cloudy,0.0,69,1021,32,14,10,4,97,palermo
2,2018-01-01,12,16,Sunny,0.0,70,1020,8,23,10,4,97,palermo
3,2018-01-01,18,11,Clear,0.0,77,1021,0,19,10,4,97,palermo
4,2018-01-02,0,10,Clear,0.0,80,1021,10,16,10,4,100,palermo
5,2018-01-02,6,11,Sunny,0.0,80,1016,14,26,10,4,100,palermo
6,2018-01-02,12,13,Cloudy,0.0,58,1015,33,39,10,4,100,palermo
7,2018-01-02,18,12,Clear,0.0,69,1017,2,23,10,4,100,palermo
8,2018-01-03,0,11,Clear,0.0,73,1018,5,18,10,4,89,palermo
9,2018-01-03,6,10,Sunny,0.0,81,1020,10,14,10,4,89,palermo
10,2018-01-03,12,16,Cloudy,0.0,67,1020,66,15,10,4,89,palermo
11,2018-01-03,18,13,Clear,0.0,90,1017,25,15,10,4,89,palermo
12,2018-01-04,0,13,Clear,0.0,85,1016,24,23,10,4,81,palermo
13,2018-01-04,6,13,Sunny,0.0,89,1014,10,15,10,4,81,palermo
14,2018-01-04,12,17,Cloudy,0.0,70,1015,83,36,10,4,81,palermo
15,2018-01-04,18,13,Clear,0.0,91,1015,12,14,10,4,81,palermo
16,2018-01-05,0,13,Clear,0.0,91,1015,4,15,10,5,74,palermo
17,2018-01-05,6,12,Sunny,0.0,86,1015,7,13,10,5,74,palermo
18,2018-01-05,12,18,Sunny,0.0,63,1016,0,11,10,5,74,palermo
19,2018-01-05,18,13,Clear,0.0,86,1015,0,6,10,5,74,palermo
20,2018-01-06,0,12,Clear,0.0,73,1015,0,9,10,5,67,palermo
21,2018-01-06,6,12,Sunny,0.0,71,1014,17,10,10,5,67,palermo
22,2018-01-06,12,20,Sunny,0.0,47,1013,15,17,10,5,67,palermo
23,2018-01-06,18,14,Clear,0.0,74,1014,10,23,10,5,67,palermo
24,2018-01-07,0,13,Clear,0.0,68,1015,12,19,10,5,59,palermo
25,2018-01-08,0,14,Cloudy,0.0,77,1018,33,12,10,5,52,palermo
26,2018-01-08,6,14,Sunny,0.0,83,1018,5,13,10,5,52,palermo
27,2018-01-09,0,14,Cloudy,0.0,85,1021,48,11,10,5,45,palermo
28,2018-01-09,6,13,Sunny,0.0,87,1021,21,12,10,5,45,palermo
29,2018-01-09,12,19,Cloudy,0.0,54,1020,85,2,10,5,45,palermo
30,2018-01-10,6,10,Rain,9.9,91,1018,71,2,6,3,38,palermo
31,2018-01-10,12,12,Cloudy,0.0,76,1017,72,13,10,3,38,palermo
32,2018-01-10,18,9,Clear,0.0,83,1017,11,8,10,3,38,palermo
33,2018-01-11,0,9,Cloudy,0.0,82,1016,72,10,10,3,30,palermo
34,2018-01-11,6,10,Cloudy,0.0,85,1014,47,10,10,3,30,palermo
35,2018-01-11,12,13,Rain,0.2,78,1013,61,12,10,3,30,palermo
36,2018-01-11,18,10,Rain,2.9,85,1012,38,12,7,3,30,palermo
37,2018-01-12,0,8,Rain,0.2,84,1010,42,14,9,3,23,palermo
38,2018-01-12,6,9,Rain,0.2,83,1009,100,18,10,3,23,palermo
39,2018-01-12,18,9,Rain,2.0,79,1010,29,9,9,3,23,palermo
40,2018-01-13,0,9,Rain,0.5,83,1013,27,7,9,3,16,palermo
41,2018-01-13,6,10,Rain,1.6,87,1015,66,13,10,3,16,palermo
42,2018-01-13,12,13,Sunny,0.0,66,1017,9,14,10,3,16,palermo
43,2018-01-13,18,9,Clear,0.0,88,1019,23,8,10,3,16,palermo
44,2018-01-14,0,9,Clear,0.0,88,1020,17,8,10,4,9,palermo
45,2018-01-14,6,8,Sunny,0.0,88,1020,18,7,10,4,9,palermo
46,2018-01-14,12,15,Cloudy,0.0,58,1021,26,6,10,4,9,palermo
47,2018-01-14,18,10,Clear,0.0,78,1022,6,11,10,4,9,palermo
48,2018-01-15,0,9,Clear,0.0,84,1022,0,12,10,4,1,palermo
49,2018-01-15,6,9,Sunny,0.0,82,1022,9,7,10,4,1,palermo
50,2018-01-15,12,15,Cloudy,0.0,58,1023,37,8,10,4,1,palermo
51,2018-01-15,18,10,Clear,0.0,87,1023,11,8,10,4,1,palermo
52,2018-01-16,0,9,Clear,0.0,89,1024,11,13,10,4,0,palermo
53,2018-01-16,6,10,Cloudy,0.0,88,1023,49,13,10,4,0,palermo
54,2018-01-16,12,14,Rain,0.3,75,1023,46,21,9,4,0,palermo
55,2018-01-16,18,11,Cloudy,0.1,88,1021,58,16,10,4,0,palermo
56,2018-01-17,0,12,Clear,0.0,87,1020,19,19,10,4,0,palermo
57,2018-01-17,6,12,Sunny,0.0,90,1017,24,17,10,4,0,palermo
58,2018-01-17,12,13,Cloudy,0.1,86,1015,58,26,10,4,0,palermo
59,2018-01-17,18,12,Clear,0.0,74,1014,9,25,10,4,0,palermo
60,2018-01-18,0,11,Clear,0.0,67,1018,3,18,10,4,6,palermo
61,2018-01-18,6,10,Sunny,0.0,66,1021,0,10,10,4,6,palermo
62,2018-01-18,12,14,Sunny,0.0,44,1023,0,2,10,4,6,palermo
63,2018-01-18,18,9,Clear,0.0,72,1023,0,7,10,4,6,palermo
64,2018-01-19,0,9,Clear,0.0,71,1021,0,11,10,4,13,palermo
65,2018-01-19,6,9,Sunny,0.0,83,1019,7,11,10,4,13,palermo
66,2018-01-19,12,16,Sunny,0.0,57,1017,21,6,10,4,13,palermo
67,2018-01-19,18,11,Cloudy,0.0,84,1016,29,10,10,4,13,palermo
68,2018-01-20,6,10,Cloudy,0.0,87,1014,65,8,10,3,20,palermo
69,2018-01-20,12,14,Cloudy,0.0,65,1015,32,16,10,3,20,palermo
70,2018-01-20,18,9,Clear,0.0,83,1015,4,9,10,3,20,palermo
71,2018-01-21,0,9,Cloudy,0.0,79,1015,28,8,10,4,28,palermo
72,2018-01-21,12,15,Cloudy,0.0,73,1008,52,32,10,4,28,palermo
73,2018-01-21,18,12,Clear,0.0,88,1009,12,14,10,4,28,palermo
74,2018-01-22,6,11,Sunny,0.0,93,1014,4,5,10,3,35,palermo
75,2018-01-22,12,15,Cloudy,0.0,74,1015,85,9,10,3,35,palermo
76,2018-01-22,18,10,Cloudy,0.0,88,1016,51,1,10,3,35,palermo
77,2018-01-23,0,12,Clear,0.0,79,1016,14,9,10,4,42,palermo
78,2018-01-23,6,11,Cloudy,0.0,87,1016,26,9,10,4,42,palermo
79,2018-01-23,12,14,Cloudy,0.0,77,1017,56,13,10,4,42,palermo
80,2018-01-24,0,10,Clear,0.0,91,1025,5,7,10,4,49,palermo
81,2018-01-24,6,8,Sunny,0.0,83,1027,0,6,10,4,49,palermo
82,2018-01-24,12,14,Sunny,0.0,52,1029,0,6,10,4,49,palermo
83,2018-01-24,18,8,Clear,0.0,75,1030,0,3,10,4,49,palermo
84,2018-01-25,0,8,Clear,0.0,69,1030,0,6,10,4,57,palermo
85,2018-01-25,6,8,Sunny,0.0,81,1029,0,7,10,4,57,palermo
86,2018-01-25,12,15,Sunny,0.0,61,1028,9,1,10,4,57,palermo
87,2018-01-25,18,9,Clear,0.0,84,1026,6,9,10,4,57,palermo
88,2018-01-26,0,9,Clear,0.0,88,1025,0,11,10,4,64,palermo
89,2018-01-26,6,9,Sunny,0.0,87,1023,0,9,10,4,64,palermo
90,2018-01-26,12,15,Sunny,0.0,62,1023,4,11,10,4,64,palermo
91,2018-01-26,18,10,Clear,0.0,81,1023,2,12,10,4,64,palermo
92,2018-01-27,0,9,Clear,0.0,85,1024,4,14,10,4,71,palermo
93,2018-01-27,6,9,Cloudy,0.0,85,1025,32,9,10,4,71,palermo
94,2018-01-27,12,15,Cloudy,0.0,60,1027,54,6,10,4,71,palermo
95,2018-01-27,18,11,Cloudy,0.1,82,1029,58,6,10,4,71,palermo
96,2018-01-28,0,10,Cloudy,0.0,82,1031,26,8,10,4,78,palermo
97,2018-01-28,6,10,Cloudy,0.0,80,1033,39,6,10,4,78,palermo
98,2018-01-28,12,16,Sunny,0.0,58,1034,18,6,10,4,78,palermo
99,2018-01-28,18,9,Clear,0.0,79,1034,6,2,10,4,78,palermo
100,2018-01-29,0,9,Clear,0.0,79,1034,4,4,10,4,86,palermo
101,2018-01-29,6,8,Sunny,0.0,83,1034,0,1,10,4,86,palermo
102,2018-01-29,12,14,Sunny,0.0,62,1034,0,8,10,4,86,palermo
103,2018-01-29,18,8,Clear,0.0,87,1032,6,3,10,4,86,palermo
104,2018-01-30,0,8,Clear,0.0,83,1032,0,3,10,4,93,palermo
105,2018-01-30,6,8,Sunny,0.0,79,1031,0,5,10,4,93,palermo
106,2018-01-30,12,13,Cloudy,0.0,63,1030,28,9,10,4,93,palermo
107,2018-01-30,18,7,Clear,0.0,84,1029,0,2,10,4,93,palermo
108,2018-01-31,0,8,Clear,0.0,82,1029,0,4,10,4,97,palermo
109,2018-01-31,6,8,Sunny,0.0,85,1028,0,4,10,4,97,palermo
110,2018-01-31,12,15,Sunny,0.0,59,1026,2,5,10,4,97,palermo
111,2018-01-31,18,8,Clear,0.0,86,1024,4,4,10,4,97,palermo
112,2018-02-01,0,8,Clear,0.0,83,1022,0,10,10,4,88,palermo
113,2018-02-01,6,8,Sunny,0.0,85,1020,10,13,10,4,88,palermo
114,2018-02-01,12,16,Cloudy,0.0,60,1017,58,14,10,4,88,palermo
115,2018-02-01,18,11,Clear,0.1,83,1014,23,17,10,4,88,palermo
116,2018-02-02,0,13,Clear,0.0,82,1012,13,21,10,4,81,palermo
117,2018-02-02,6,12,Sunny,0.0,86,1011,16,18,10,4,81,palermo
118,2018-02-02,12,17,Sunny,0.0,65,1010,24,24,10,4,81,palermo
119,2018-02-02,18,13,Cloudy,0.0,78,1008,85,20,10,4,81,palermo
120,2018-02-03,0,14,Cloudy,0.1,79,1007,33,25,10,4,73,palermo
121,2018-02-03,12,12,Rain,3.4,80,1010,54,15,8,4,73,palermo
122,2018-02-03,18,8,Clear,0.2,79,1012,11,13,10,4,73,palermo
123,2018-02-04,0,8,Clear,0.1,81,1014,25,12,10,3,66,palermo
124,2018-02-04,6,7,Sunny,0.0,78,1015,13,9,10,3,66,palermo
125,2018-02-04,12,13,Sunny,0.0,54,1017,20,10,10,3,66,palermo
126,2018-02-04,18,7,Clear,0.0,74,1018,2,2,10,3,66,palermo
127,2018-02-05,0,7,Clear,0.0,75,1019,6,5,10,4,58,palermo
128,2018-02-05,6,7,Sunny,0.0,73,1018,7,9,10,4,58,palermo
129,2018-02-05,12,13,Cloudy,0.0,50,1018,68,13,10,4,58,palermo
130,2018-02-05,18,9,Rain,1.5,84,1015,100,9,9,4,58,palermo
131,2018-02-06,0,11,Rain,1.5,88,1014,59,13,9,3,51,palermo
132,2018-02-06,6,11,Cloudy,0.0,89,1011,34,13,10,3,51,palermo
133,2018-02-06,12,16,Cloudy,0.0,71,1009,41,3,10,3,51,palermo
134,2018-02-06,18,10,Rain,16.7,92,1007,10,11,9,3,51,palermo
135,2018-02-07,0,10,Clear,0.7,88,1006,8,16,10,4,43,palermo
136,2018-02-07,6,9,Sunny,0.0,87,1006,1,14,10,4,43,palermo
137,2018-02-07,12,13,Sunny,0.4,61,1009,11,25,10,4,43,palermo
138,2018-02-07,18,9,Cloudy,0.0,74,1011,39,20,10,4,43,palermo
139,2018-02-08,0,9,Rain,0.4,88,1014,38,12,9,3,36,palermo
140,2018-02-08,6,10,Rain,0.4,88,1016,88,6,10,3,36,palermo
141,2018-02-08,12,13,Cloudy,0.0,70,1018,51,10,10,3,36,palermo
142,2018-02-08,18,8,Clear,0.0,82,1019,23,6,10,3,36,palermo
143,2018-02-09,0,8,Clear,0.0,80,1018,9,6,10,4,28,palermo
144,2018-02-09,6,8,Sunny,0.0,82,1016,9,8,10,4,28,palermo
145,2018-02-09,12,13,Cloudy,0.1,72,1013,33,12,10,4,28,palermo
146,2018-02-09,18,9,Rain,1.2,82,1009,100,13,10,4,28,palermo
147,2018-02-10,0,9,Rain,1.2,91,1006,100,13,9,2,20,palermo
148,2018-02-10,6,9,Rain,6.1,88,1003,98,18,7,2,20,palermo
149,2018-02-10,12,11,Rain,0.6,76,1004,82,27,10,2,20,palermo
150,2018-02-10,18,8,Rain,0.5,82,1006,38,15,9,2,20,palermo
151,2018-02-11,0,8,Clear,0.0,84,1007,17,17,10,3,13,palermo
152,2018-02-11,6,8,Rain,0.7,84,1009,46,13,9,3,13,palermo
153,2018-02-11,12,11,Cloudy,0.1,74,1011,70,19,10,3,13,palermo
154,2018-02-11,18,9,Rain,0.3,78,1013,89,12,10,3,13,palermo
155,2018-02-12,0,7,Clear,0.0,83,1014,14,9,10,4,5,palermo
156,2018-02-12,6,7,Sunny,0.0,85,1014,10,10,10,4,5,palermo
157,2018-02-12,12,14,Cloudy,0.0,69,1014,71,12,10,4,5,palermo
158,2018-02-13,6,10,Rain,5.3,94,1010,100,10,7,2,0,palermo
159,2018-02-13,12,9,Rain,6.0,86,1012,100,24,7,2,0,palermo
160,2018-02-13,18,8,Clear,0.0,76,1013,24,21,10,2,0,palermo
161,2018-02-14,0,8,Cloudy,0.1,81,1016,71,14,10,2,0,palermo
162,2018-02-14,6,6,Cloudy,0.0,79,1014,37,14,10,2,0,palermo
163,2018-02-14,12,9,Rain,4.8,89,1012,100,18,6,2,0,palermo
164,2018-02-14,18,7,Rain,3.7,81,1012,42,18,7,2,0,palermo
165,2018-02-15,0,8,Rain,2.6,84,1014,100,25,7,2,0,palermo
166,2018-02-15,6,7,Cloudy,0.0,77,1017,44,25,10,2,0,palermo
167,2018-02-15,12,10,Sunny,0.0,58,1020,8,24,10,2,0,palermo
168,2018-02-15,18,7,Clear,0.0,67,1022,1,12,10,2,0,palermo
169,2018-02-16,0,7,Clear,0.0,62,1024,0,10,10,3,2,palermo
170,2018-02-16,6,6,Sunny,0.0,64,1024,4,5,10,3,2,palermo
171,2018-02-16,12,13,Sunny,0.0,49,1025,3,5,10,3,2,palermo
172,2018-02-16,18,7,Clear,0.0,74,1025,15,3,10,3,2,palermo
173,2018-02-17,0,8,Cloudy,0.0,76,1025,36,8,10,4,10,palermo
174,2018-02-17,6,8,Cloudy,0.0,73,1024,48,8,10,4,10,palermo
175,2018-02-17,12,15,Cloudy,0.0,56,1022,79,2,10,4,10,palermo
176,2018-02-18,6,9,Cloudy,0.0,83,1018,71,8,10,3,17,palermo
177,2018-02-18,18,11,Rain,1.3,89,1014,89,3,9,3,17,palermo
178,2018-02-19,6,9,Sunny,0.0,93,1012,22,9,10,3,25,palermo
179,2018-02-19,12,14,Cloudy,0.0,69,1012,49,10,10,3,25,palermo
180,2018-02-19,18,10,Cloudy,0.0,91,1011,54,8,10,3,25,palermo
181,2018-02-20,0,8,Cloudy,0.0,92,1011,52,5,10,4,32,palermo
182,2018-02-20,6,8,Cloudy,0.0,93,1009,39,11,10,4,32,palermo
183,2018-02-20,12,13,Cloudy,0.0,66,1007,33,12,10,4,32,palermo
184,2018-02-21,0,8,Rain,4.5,91,1001,94,2,7,2,40,palermo
185,2018-02-21,6,7,Rain,0.4,94,1000,82,8,10,2,40,palermo
186,2018-02-21,12,11,Cloudy,0.1,70,1001,61,15,10,2,40,palermo
187,2018-02-21,18,7,Clear,0.0,80,1003,17,8,10,2,40,palermo
188,2018-02-22,0,7,Clear,0.0,83,1003,25,11,10,4,47,palermo
189,2018-02-22,18,10,Cloudy,0.0,92,1001,82,5,10,4,47,palermo
190,2018-02-23,0,9,Rain,6.2,95,1001,100,3,7,2,55,palermo
191,2018-02-23,6,8,Rain,27.0,98,999,100,6,5,2,55,palermo
192,2018-02-23,12,9,Rain,24.0,95,997,100,12,5,2,55,palermo
193,2018-02-23,18,8,Rain,10.3,92,1000,100,14,5,2,55,palermo
194,2018-02-24,0,8,Rain,0.3,88,1003,18,14,9,3,62,palermo
195,2018-02-24,6,8,Sunny,0.0,88,1006,22,16,10,3,62,palermo
196,2018-02-24,12,13,Cloudy,0.0,67,1009,34,13,10,3,62,palermo
197,2018-02-24,18,9,Cloudy,0.0,83,1009,44,7,10,3,62,palermo
198,2018-02-25,6,8,Rain,5.3,93,1006,71,2,8,2,70,palermo
199,2018-02-25,12,11,Cloudy,0.0,84,1004,69,7,10,2,70,palermo
200,2018-02-25,18,8,Cloudy,0.0,87,1004,45,16,10,2,70,palermo
201,2018-02-26,0,8,Cloudy,0.0,88,1003,41,8,10,3,77,palermo
202,2018-02-26,6,9,Cloudy,0.0,89,1001,56,17,10,3,77,palermo
203,2018-02-26,18,6,Cloudy,0.0,77,1006,78,13,10,3,77,palermo
204,2018-02-27,0,5,Clear,0.0,83,1005,3,5,10,3,85,palermo
205,2018-02-27,6,6,Cloudy,0.0,80,1004,80,11,10,3,85,palermo
206,2018-02-27,12,11,Cloudy,0.0,75,1004,76,14,10,3,85,palermo
207,2018-02-27,18,7,Rain,0.4,87,1008,81,12,10,3,85,palermo
208,2018-02-28,0,4,Cloudy,0.0,87,1011,32,4,10,3,93,palermo
209,2018-02-28,12,10,Rain,1.3,82,1014,69,15,9,3,93,palermo
210,2018-02-28,18,9,Clear,0.0,88,1013,14,10,10,3,93,palermo
211,2018-03-01,0,12,Clear,0.0,84,1011,22,30,10,5,96,palermo
212,2018-03-01,12,19,Sunny,0.0,65,1005,6,23,10,5,96,palermo
213,2018-03-01,18,15,Cloudy,0.0,67,1001,33,23,10,5,96,palermo
214,2018-03-02,0,14,Rain,2.2,84,1000,98,14,10,4,100,palermo
215,2018-03-02,6,14,Sunny,0.0,69,1002,11,12,10,4,100,palermo
216,2018-03-02,12,18,Sunny,0.0,66,1006,5,28,10,4,100,palermo
217,2018-03-02,18,12,Cloudy,0.0,75,1007,43,14,10,4,100,palermo
218,2018-03-03,0,12,Cloudy,0.0,59,1008,46,12,10,5,89,palermo
219,2018-03-03,12,20,Sunny,0.0,61,1005,19,15,10,5,89,palermo
220,2018-03-03,18,14,Clear,0.0,78,1006,12,15,10,5,89,palermo
221,2018-03-04,0,13,Cloudy,0.0,71,1006,29,11,10,5,82,palermo
222,2018-03-04,6,12,Sunny,0.0,50,1005,23,6,10,5,82,palermo
223,2018-03-04,12,19,Sunny,0.0,54,1002,8,10,10,5,82,palermo
224,2018-03-04,18,14,Cloudy,0.0,69,997,31,14,10,5,82,palermo
225,2018-03-05,12,14,Cloudy,0.0,76,997,76,21,10,3,74,palermo
226,2018-03-05,18,11,Clear,0.2,90,1000,11,12,10,3,74,palermo
227,2018-03-06,0,11,Cloudy,0.0,86,1000,49,19,10,4,67,palermo
228,2018-03-06,6,12,Cloudy,0.0,87,999,49,12,10,4,67,palermo
229,2018-03-06,12,15,Cloudy,0.0,70,1001,31,28,10,4,67,palermo
