,date,time,tempC,weatherDesc,precipMM,humidity,pressure,cloudcover,windspeedKmph,visibility,uvIndex,moon_illumination,city
0,2018-01-01,0,12,Rain,0.2,89,1019,45,12,9,3,97,rome
1,2018-01-01,6,11,Cloudy,0.0,87,1016,68,20,10,3,97,rome
2,2018-01-01,12,14,Rain,0.9,66,1012,10,24,9,3,97,rome
3,2018-01-01,18,11,Rain,1.6,76,1013,4,9,9,3,97,rome
4,2018-01-02,0,10,Cloudy,0.0,77,1012,45,15,10,4,100,rome
5,2018-01-02,6,9,Rain,1.2,80,1009,47,12,10,4,100,rome
6,2018-01-02,12,12,Sunny,0.0,63,1013,8,20,10,4,100,rome
7,2018-01-02,18,10,Clear,0.0,63,1017,4,19,10,4,100,rome
8,2018-01-03,0,8,Clear,0.0,64,1019,5,8,10,4,89,rome
9,2018-01-03,6,7,Sunny,0.0,56,1018,9,8,10,4,89,rome
10,2018-01-03,12,13,Cloudy,0.0,55,1014,27,16,10,4,89,rome
11,2018-01-03,18,12,Cloudy,0.0,87,1009,38,1,10,4,89,rome
12,2018-01-04,0,12,Clear,0.0,79,1011,12,13,10,4,81,rome
13,2018-01-04,6,9,Sunny,0.0,78,1011,5,6,10,4,81,rome
14,2018-01-04,12,16,Sunny,0.0,57,1011,15,1,10,4,81,rome
15,2018-01-04,18,12,Cloudy,0.0,72,1010,32,9,10,4,81,rome
16,2018-01-05,0,11,Clear,0.0,80,1009,12,12,10,4,74,rome
17,2018-01-05,6,10,Sunny,0.0,85,1009,4,10,10,4,74,rome
18,2018-01-05,12,16,Sunny,0.0,69,1010,6,13,10,4,74,rome
19,2018-01-05,18,12,Clear,0.0,90,1011,16,11,10,4,74,rome
20,2018-01-06,0,11,Clear,0.0,88,1012,0,15,10,4,67,rome
21,2018-01-06,6,11,Cloudy,0.0,86,1012,44,13,10,4,67,rome
22,2018-01-06,12,15,Cloudy,0.0,74,1012,46,19,10,4,67,rome
23,2018-01-06,18,12,Clear,0.0,86,1013,3,14,10,4,67,rome
24,2018-01-07,0,11,Clear,0.0,70,1014,4,21,10,4,59,rome
25,2018-01-07,6,11,Cloudy,0.0,67,1015,85,22,10,4,59,rome
26,2018-01-07,12,18,Cloudy,0.0,47,1016,85,21,10,4,59,rome
27,2018-01-07,18,14,Clear,0.0,48,1018,21,16,10,4,59,rome
28,2018-01-08,0,13,Cloudy,0.0,49,1019,52,19,10,5,52,rome
29,2018-01-08,6,12,Sunny,0.0,58,1019,17,15,10,5,52,rome
30,2018-01-08,12,18,Cloudy,0.0,50,1018,45,26,10,5,52,rome
31,2018-01-08,18,15,Clear,0.0,59,1018,8,20,10,5,52,rome
32,2018-01-09,0,14,Cloudy,0.0,67,1020,63,22,10,3,45,rome
33,2018-01-09,6,13,Rain,1.3,84,1020,48,17,10,3,45,rome
34,2018-01-09,12,15,Rain,3.8,81,1020,100,14,7,3,45,rome
35,2018-01-09,18,12,Rain,3.4,83,1020,82,15,7,3,45,rome
36,2018-01-10,0,10,Rain,7.8,77,1019,99,11,5,3,38,rome
37,2018-01-10,6,9,Sunny,0.0,79,1018,4,7,10,3,38,rome
38,2018-01-10,12,13,Sunny,0.0,57,1016,7,9,10,3,38,rome
39,2018-01-10,18,11,Clear,0.0,74,1015,13,6,10,3,38,rome
40,2018-01-11,0,9,Cloudy,0.0,72,1014,43,5,10,4,30,rome
41,2018-01-11,18,10,Rain,2.4,81,1009,66,14,10,4,30,rome
42,2018-01-12,0,9,Rain,0.2,78,1010,100,6,10,3,23,rome
43,2018-01-12,12,13,Cloudy,0.0,62,1013,46,11,10,3,23,rome
44,2018-01-12,18,10,Cloudy,0.0,70,1016,25,14,10,3,23,rome
45,2018-01-13,0,8,Clear,0.0,72,1017,9,10,10,4,16,rome
46,2018-01-13,6,7,Sunny,0.0,74,1018,5,11,10,4,16,rome
47,2018-01-13,12,14,Sunny,0.0,50,1018,6,3,10,4,16,rome
48,2018-01-13,18,10,Clear,0.0,70,1019,12,5,10,4,16,rome
49,2018-01-14,0,8,Clear,0.0,77,1019,7,4,10,3,9,rome
50,2018-01-14,6,7,Cloudy,0.0,82,1019,38,5,10,3,9,rome
51,2018-01-14,12,12,Sunny,0.1,63,1020,19,7,10,3,9,rome
52,2018-01-14,18,9,Clear,0.0,72,1021,17,4,10,3,9,rome
53,2018-01-15,0,8,Cloudy,0.0,80,1022,44,10,10,4,1,rome
54,2018-01-15,6,7,Cloudy,0.0,77,1022,28,11,10,4,1,rome
55,2018-01-15,12,13,Cloudy,0.0,63,1022,39,7,10,4,1,rome
56,2018-01-15,18,11,Rain,0.8,79,1021,57,4,10,4,1,rome
57,2018-01-16,0,9,Rain,1.9,85,1020,57,8,10,3,0,rome
58,2018-01-16,6,10,Rain,1.9,84,1017,55,11,10,3,0,rome
59,2018-01-16,12,13,Rain,1.0,78,1015,100,24,10,3,0,rome
60,2018-01-16,18,12,Rain,0.9,86,1012,33,8,9,3,0,rome
61,2018-01-17,0,12,Rain,0.2,88,1010,14,8,9,3,0,rome
62,2018-01-17,6,13,Rain,0.2,78,1006,13,18,9,3,0,rome
63,2018-01-17,12,14,Rain,0.8,55,1005,11,34,9,3,0,rome
64,2018-01-17,18,11,Clear,0.1,45,1012,0,22,10,3,0,rome
65,2018-01-18,0,7,Clear,0.0,43,1018,0,18,10,4,6,rome
66,2018-01-18,6,7,Sunny,0.0,38,1021,0,7,10,4,6,rome
67,2018-01-18,12,13,Sunny,0.0,45,1019,2,16,10,4,6,rome
68,2018-01-18,18,11,Cloudy,0.0,77,1018,69,12,10,4,6,rome
69,2018-01-19,0,11,Rain,0.2,85,1017,94,16,10,3,13,rome
70,2018-01-19,6,11,Rain,0.4,81,1014,93,14,10,3,13,rome
71,2018-01-19,12,12,Rain,0.3,80,1013,100,17,10,3,13,rome
72,2018-01-19,18,12,Rain,0.5,83,1012,100,13,10,3,13,rome
73,2018-01-20,0,11,Rain,0.4,87,1012,26,6,9,3,20,rome
74,2018-01-20,6,9,Sunny,0.0,88,1012,9,4,10,3,20,rome
