,date,time,tempC,weatherDesc,precipMM,humidity,pressure,cloudcover,windspeedKmph,visibility,uvIndex,moon_illumination,city
0,2018-01-01,0,0,Rain,0.2,90,1016,33,3,9,2,97,turin
1,2018-01-01,12,8,Sunny,0.1,64,1015,0,4,10,2,97,turin
2,2018-01-01,18,3,Cloudy,0.1,64,1011,87,5,10,2,97,turin
3,2018-01-02,0,2,Clear,0.1,74,1012,3,7,10,3,100,turin
4,2018-01-02,6,4,Sunny,0.0,56,1017,6,15,10,3,100,turin
5,2018-01-02,12,8,Sunny,0.0,36,1019,6,14,10,3,100,turin
6,2018-01-02,18,3,Cloudy,0.0,52,1020,47,8,10,3,100,turin
7,2018-01-03,0,3,Rain,0.4,59,1018,23,0,9,1,89,turin
8,2018-01-03,6,4,Sunny,0.3,49,1015,7,3,10,1,89,turin
9,2018-01-03,12,4,Rain,0.9,66,1008,22,8,9,1,89,turin
10,2018-01-03,18,4,Rain,1.1,80,1011,15,12,9,1,89,turin
11,2018-01-04,6,4,Rain,0.6,86,1010,28,1,9,1,81,turin
12,2018-01-04,12,6,Rain,0.8,68,1009,6,4,9,1,81,turin
13,2018-01-04,18,4,Clear,0.0,72,1009,5,3,10,1,81,turin
14,2018-01-05,0,4,Clear,0.0,85,1009,3,3,10,2,74,turin
15,2018-01-05,6,5,Sunny,0.1,89,1008,6,4,10,2,74,turin
16,2018-01-06,18,3,Rain,0.8,84,1013,100,2,9,1,67,turin
17,2018-01-07,0,3,Rain,2.1,83,1015,100,1,9,2,59,turin
18,2018-01-07,6,6,Rain,6.3,90,1015,100,3,7,2,59,turin
19,2018-01-07,12,4,Rain,7.7,94,1017,100,0,5,2,59,turin
20,2018-01-07,18,4,Rain,6.4,96,1019,100,5,7,2,59,turin
21,2018-01-08,0,5,Rain,13.2,98,1019,100,7,5,2,52,turin
22,2018-01-08,6,8,Rain,9.9,97,1019,100,14,6,2,52,turin
23,2018-01-08,12,7,Rain,10.4,94,1018,100,19,6,2,52,turin
24,2018-01-08,18,7,Rain,16.1,96,1017,100,21,6,2,52,turin
25,2018-01-09,0,7,Rain,31.8,94,1015,100,16,6,2,45,turin
26,2018-01-09,6,8,Rain,5.6,91,1016,99,10,7,2,45,turin
27,2018-01-09,12,5,Rain,10.7,90,1017,100,8,5,2,45,turin
28,2018-01-09,18,5,Rain,4.0,92,1018,48,6,8,2,45,turin
29,2018-01-10,12,5,Rain,0.2,74,1015,28,2,9,1,38,turin
30,2018-01-10,18,3,Cloudy,0.1,88,1015,31,4,10,1,38,turin
31,2018-01-11,0,2,Clear,0.0,81,1014,21,5,10,2,30,turin
32,2018-01-11,6,4,Sunny,0.1,76,1014,23,4,10,2,30,turin
33,2018-01-11,12,6,Sunny,0.1,63,1013,16,4,10,2,30,turin
34,2018-01-11,18,3,Clear,0.1,75,1016,19,4,10,2,30,turin
35,2018-01-12,0,1,Clear,0.0,68,1018,16,6,10,2,23,turin
36,2018-01-12,6,4,Cloudy,0.1,66,1020,46,5,10,2,23,turin
37,2018-01-12,12,6,Rain,0.2,55,1021,28,5,9,2,23,turin
38,2018-01-12,18,3,Clear,0.0,70,1023,12,4,10,2,23,turin
39,2018-01-13,0,1,Clear,0.0,70,1025,18,6,10,2,16,turin
40,2018-01-13,6,3,Sunny,0.0,70,1025,17,5,10,2,16,turin
41,2018-01-13,12,6,Sunny,0.0,52,1022,12,4,10,2,16,turin
42,2018-01-13,18,3,Clear,0.0,68,1023,10,7,10,2,16,turin
43,2018-01-14,0,1,Clear,0.0,64,1023,13,5,10,2,9,turin
44,2018-01-14,6,2,Cloudy,0.0,65,1022,30,3,10,2,9,turin
45,2018-01-14,12,3,Cloudy,0.0,58,1021,51,4,10,2,9,turin
46,2018-01-14,18,1,Cloudy,0.0,81,1023,26,0,10,2,9,turin
47,2018-01-15,0,-1,Clear,0.0,80,1025,14,3,10,2,1,turin
48,2018-01-15,6,3,Sunny,0.1,79,1025,9,1,10,2,1,turin
49,2018-01-15,12,2,Cloudy,0.0,79,1022,31,4,10,2,1,turin
50,2018-01-15,18,-1,Cloudy,0.1,90,1020,85,5,10,2,1,turin
51,2018-01-16,18,2,Clear,0.1,87,1007,10,1,10,1,0,turin
52,2018-01-17,0,2,Clear,0.3,85,1003,9,11,10,3,0,turin
53,2018-01-17,6,4,Sunny,0.5,82,1005,9,2,10,3,0,turin
54,2018-01-17,12,6,Rain,0.2,38,1011,20,16,9,3,0,turin
55,2018-01-17,18,3,Clear,0.1,44,1018,5,12,10,3,0,turin
56,2018-01-18,0,3,Clear,0.0,54,1021,1,5,10,2,6,turin
57,2018-01-18,6,2,Sunny,0.0,60,1019,6,5,10,2,6,turin
58,2018-01-18,12,4,Sunny,0.0,56,1016,7,4,10,2,6,turin
59,2018-01-18,18,3,Clear,0.0,78,1014,6,4,10,2,6,turin
60,2018-01-19,0,2,Clear,0.0,85,1013,5,4,10,3,13,turin
61,2018-01-19,6,5,Sunny,0.0,82,1011,3,3,10,3,13,turin
